risk_pct,month,year,trades,start_equity,end_equity,pnl_usd,return_pct,max_dd_usd
0.03,2025-01,2025,27,5000.0,7222.764783919877,2222.764783919877,44.45529567839755,-524.4418776111697
0.03,2025-02,2025,28,5000.0,7152.099964256127,2152.0999642561274,43.04199928512256,-650.4157402652563
0.03,2025-03,2025,39,5000.0,8532.35870088308,3532.35870088308,70.64717401766161,-827.0983110608977
0.03,2025-04,2025,34,5000.0,9282.024272382945,4282.024272382945,85.6404854476589,-517.1183531484767
0.03,2025-05,2025,29,5000.0,7094.637748167414,2094.6377481674144,41.89275496334828,-232.554518721985
0.03,2025-06,2025,18,5000.0,6557.4328850031425,1557.4328850031425,31.148657700062856,-221.2245861576157
0.03,2025-07,2025,39,5000.0,8109.822226474337,3109.822226474337,62.19644452948674,-758.6348744946681
0.03,2025-08,2025,27,5000.0,7362.131237364583,2362.1312373645833,47.242624747291664,-507.0949834427347
0.03,2025-09,2025,33,5000.0,7320.301788457269,2320.301788457269,46.40603576914539,-317.267270794805
0.03,2025-10,2025,35,5000.0,8478.252930229393,3478.2529302293933,69.56505860458786,-481.84879764086054
0.03,2025-11,2025,18,5000.0,5863.851660598673,863.8516605986733,17.277033211973468,-217.77946088478075
0.03,2025-12,2025,24,5000.0,6528.150563810205,1528.1505638102053,30.56301127620411,-558.305370138808
0.03,2026-01,2026,22,5000.0,6597.210647619973,1597.2106476199733,31.944212952399464,-426.0285601615451
0.03,2026-02,2026,25,5000.0,7226.487553126635,2226.4875531266352,44.529751062532696,-611.3565035622642
0.03,2026-03,2026,33,5000.0,7614.971985319581,2614.971985319581,52.29943970639162,-483.0902042186117
0.03,2026-04,2026,34,5000.0,9326.444732580321,4326.444732580321,86.52889465160642,-431.8444470296663
0.03,2026-05,2026,31,5000.0,8522.933404331965,3522.933404331965,70.45866808663929,-522.4057103270898
0.03,2026-06,2026,17,5000.0,6044.2868236739905,1044.2868236739905,20.88573647347982,-202.4047157806981
0.04,2019-09,2019,5,5000.0,5503.573384798559,503.57338479855935,10.071467695971181,-247.6067857065991
0.04,2019-10,2019,39,5000.0,7513.658110494458,2513.658110494458,50.27316220988916,-1093.3674829049069
0.04,2019-11,2019,21,5000.0,5208.771908455341,208.77190845534096,4.175438169106815,-957.1733502444895
0.04,2019-12,2019,31,5000.0,7060.75373009055,2060.7537300905497,41.215074601811,-516.5769332986793
0.04,2020-01,2020,24,5000.0,5407.404621073118,407.4046210731176,8.14809242146235,-575.0902961179636
0.04,2020-02,2020,29,5000.0,6066.179039001938,1066.1790390019378,21.323580780038753,-913.2970795358069
0.04,2020-03,2020,22,5000.0,4011.6132959316565,-988.3867040683435,-19.76773408136687,-1323.6676384466614
0.04,2020-04,2020,35,5000.0,7494.433415197681,2494.433415197681,49.88866830395362,-587.1220487089786
0.04,2020-05,2020,33,5000.0,6754.600314898626,1754.6003148986256,35.09200629797251,-730.8383502332736
0.04,2020-06,2020,31,5000.0,6756.107113076402,1756.1071130764021,35.12214226152803,-1090.724242997494
0.04,2020-07,2020,40,5000.0,7665.5445673109,2665.5445673108998,53.310891346218,-974.3887953126778
0.04,2020-08,2020,21,5000.0,7310.4132626422725,2310.4132626422725,46.20826525284545,-305.870149302099
0.04,2020-09,2020,35,5000.0,8637.606307611362,3637.6063076113624,72.75212615222723,-442.97256259642745
0.04,2020-10,2020,28,5000.0,7202.680263385169,2202.6802633851694,44.05360526770339,-694.1786576280992
0.04,2020-11,2020,34,5000.0,8869.869135757373,3869.8691357573734,77.39738271514747,-462.46101207790343
0.04,2020-12,2020,27,5000.0,5775.67434234864,775.6743423486396,15.513486846972802,-873.4455281418705
0.04,2021-01,2021,27,5000.0,6069.092350745216,1069.0923507452162,21.38184701490433,-931.8214030057397
0.04,2021-02,2021,30,5000.0,7107.0660480348915,2107.0660480348915,42.141320960697826,-1375.8144875760272
0.04,2021-03,2021,32,5000.0,5461.8229187925435,461.82291879254353,9.236458375850876,-927.4560957991744
0.04,2021-04,2021,33,5000.0,3838.640939589406,-1161.3590604105939,-23.227181208211878,-1706.9907066009841
0.04,2021-05,2021,30,5000.0,8326.82372659822,3326.8237265982207,66.5364745319644,-623.8496104088217
0.04,2021-06,2021,26,5000.0,7051.2957338115075,2051.2957338115075,41.02591467623016,-651.6016940253021
0.04,2021-07,2021,32,5000.0,6214.029596176076,1214.0295961760758,24.28059192352152,-765.33967654976
0.04,2021-08,2021,26,5000.0,5934.689162327149,934.6891623271486,18.69378324654296,-842.5820985584241
0.04,2021-09,2021,41,5000.0,9481.37960479921,4481.379604799209,89.62759209598418,-922.6619389393927
0.04,2021-10,2021,29,5000.0,9029.127148689387,4029.1271486893875,80.58254297378775,-377.9028224001913
0.04,2021-11,2021,30,5000.0,10235.58870771805,5235.5887077180505,104.71177415436101,-459.65198313240217
0.04,2021-12,2021,37,5000.0,6093.7680532341965,1093.7680532341965,21.87536106468393,-933.7264529450931
0.04,2022-01,2022,36,5000.0,7357.3327194607255,2357.3327194607255,47.146654389214504,-839.7087509493686
0.04,2022-02,2022,24,5000.0,6356.129512913706,1356.129512913706,27.122590258274126,-1368.9431540628839
0.04,2022-03,2022,39,5000.0,7905.950023582511,2905.9500235825108,58.11900047165022,-1344.1076255811504
0.04,2022-04,2022,35,5000.0,7083.233450751898,2083.233450751898,41.66466901503796,-1086.9201864685983
0.04,2022-05,2022,33,5000.0,6624.903189251397,1624.9031892513967,32.49806378502793,-1082.5393944643474
0.04,2022-06,2022,41,5000.0,7191.177118305011,2191.1771183050114,43.82354236610022,-1514.7055695603958
0.04,2022-07,2022,37,5000.0,7643.66973291203,2643.6697329120298,52.87339465824059,-519.8522300403238
0.04,2022-08,2022,43,5000.0,6436.255055386515,1436.2550553865149,28.7251011077303,-1100.9691169781154
0.04,2022-09,2022,38,5000.0,6129.2337629764015,1129.2337629764015,22.58467525952803,-1271.9740817117536
0.04,2022-10,2022,29,5000.0,7948.553703100381,2948.5537031003814,58.97107406200763,-643.5913575593677
0.04,2022-11,2022,27,5000.0,6778.339994619514,1778.339994619514,35.566799892390286,-831.8805741834012
0.04,2022-12,2022,39,5000.0,10299.541832056902,5299.541832056902,105.99083664113805,-865.5397691602493
0.04,2023-01,2023,26,5000.0,7231.873325607779,2231.8733256077794,44.63746651215559,-467.527446737442
0.04,2023-02,2023,29,5000.0,6133.306339030369,1133.3063390303687,22.666126780607378,-747.0219575979063
0.04,2023-03,2023,30,5000.0,9847.534517617365,4847.534517617365,96.9506903523473,-755.6239561580305
0.04,2023-04,2023,35,5000.0,9702.80773031792,4702.80773031792,94.05615460635839,-456.5035778563524
0.04,2023-05,2023,26,5000.0,6863.895425025505,1863.8954250255047,37.277908500510094,-660.810428095172
