rule,n_flags,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
orb_inside + opposite_fvg_20 + risk_ge_10,3,220,-5.490377578605595,-0.8780036823930357,50.0,0.9507966715350586,-18.22039141897299,-0.04818797040105109,2,7,17,42
orb_inside + opposite_fvg_20 + risk_ge_15,3,108,-1.4849247637203655,-0.23746443517901206,50.0,0.9728660714744887,-7.382339328600235,-0.03216655650859084,3,6,8,19
orb_inside + opposite_fvg_20 + dir_demand,3,736,-51.38099141316683,-7.656836847678166,50.54347826086957,0.8687299109687601,-61.01769568031857,-0.12548551305171463,1,8,34,81
orb_inside + opposite_fvg_20 + dir_supply,3,693,-72.6149889199832,-10.80791552690459,48.917748917748916,0.8101407484172611,-83.87496347254852,-0.1288574692547189,1,8,36,82
orb_inside + ob_overlap_30d + ob_fvg_bos_overlap_30d,3,522,-75.09018180113773,-11.231240336963783,46.74329501915709,0.7487694998924744,-79.10817884560781,-0.1419731878657368,1,8,27,80
orb_inside + ob_overlap_30d + risk_ge_10,3,130,-13.999691657086576,-2.2417305470192335,45.38461538461539,0.8051084017046922,-19.817710434132383,-0.11311753466526903,2,7,11,31
orb_inside + ob_overlap_30d + risk_ge_15,3,67,-5.956111109763845,-0.9592017561028415,46.26865671641791,0.8367768034290358,-7.294657178544582,-0.13149374023005422,1,5,6,17
orb_inside + ob_overlap_30d + dir_demand,3,410,-41.58615109892583,-6.235361941249039,48.78048780487805,0.8149328818684473,-45.79901792289301,-0.13614619317267593,2,8,32,81
orb_inside + ob_overlap_30d + dir_supply,3,359,-57.24494300233302,-8.520258937083184,45.96100278551532,0.7271186289423124,-64.78220554415819,-0.13152159401666913,1,8,27,82
orb_inside + ob_fvg_bos_overlap_30d + risk_ge_10,3,89,-12.223392282598866,-2.1059405807637903,43.82022471910113,0.7579113476970126,-19.44864958699254,-0.10828209801117838,2,7,9,27
