run,net_r,max_drawdown_r
344,256.10667497371526,-10.016810188488222
345,256.10667497371514,-10.053782255472825
346,256.1066749737151,-9.7225564733711
347,256.10667497371537,-12.515473002636412
348,256.10667497371526,-7.739427650816111
349,256.10667497371514,-8.684455908151165
350,256.1066749737152,-15.227744309561984
351,256.10667497371526,-9.241825879874902
352,256.10667497371526,-10.426697176874873
353,256.1066749737152,-14.097201889492226
354,256.1066749737151,-9.012874392993794
355,256.10667497371514,-10.708559181831998
356,256.1066749737151,-10.633809592890689
357,256.10667497371514,-10.145823306769614
358,256.1066749737153,-7.276318805163925
359,256.10667497371537,-11.200279891880983
360,256.1066749737149,-7.589720177011287
361,256.10667497371526,-12.253135474907424
362,256.10667497371526,-12.099212525634751
363,256.1066749737154,-10.030559940862958
364,256.1066749737155,-9.150880040022258
365,256.10667497371537,-14.96862706680674
366,256.10667497371554,-12.279982812118355
367,256.1066749737153,-12.086155762390376
368,256.1066749737154,-9.443479063253221
369,256.1066749737152,-10.993774364346642
370,256.1066749737152,-6.502301283580174
371,256.10667497371526,-7.755209204267787
372,256.10667497371537,-11.598838627906616
373,256.1066749737151,-11.21463586154627
374,256.10667497371537,-13.252798387941425
375,256.1066749737155,-10.644974086897946
376,256.1066749737151,-8.844043671572038
377,256.10667497371514,-11.371844037298075
378,256.10667497371526,-7.780824279961635
379,256.10667497371537,-8.739276103196275
380,256.10667497371514,-7.816463678064878
381,256.1066749737155,-7.1818376500839065
382,256.10667497371514,-16.260829159917733
383,256.1066749737148,-9.93164664329376
384,256.10667497371526,-10.024304195201779
385,256.10667497371514,-14.547428810230905
386,256.1066749737155,-6.48430332591574
387,256.10667497371526,-15.533744340473504
388,256.10667497371514,-11.062431069741336
389,256.1066749737155,-6.833547844306423
390,256.10667497371526,-15.855398257315002
391,256.1066749737151,-9.479007890899737
392,256.10667497371537,-9.610951944503284
393,256.1066749737151,-7.792269859613924
394,256.1066749737148,-9.420239863731496
395,256.1066749737153,-8.863104182413025
396,256.10667497371554,-10.32703352691388
397,256.1066749737151,-7.976283093326771
398,256.10667497371526,-7.633276530831637
399,256.10667497371526,-11.382780329982296
400,256.1066749737154,-6.849698027270662
401,256.1066749737153,-6.739451566362767
402,256.10667497371526,-13.989575813944356
403,256.10667497371537,-10.296960322487614
404,256.1066749737154,-9.199107840861757
405,256.1066749737152,-13.57723837367277
406,256.10667497371537,-8.489455293772494
407,256.10667497371514,-8.929699478905293
408,256.10667497371526,-7.561421694171756
409,256.10667497371526,-9.380182697844404
410,256.1066749737152,-10.578975762050788
