n,sumR,deltaR,pf,wr,combo,depth
5919,1476.8,-6802.4,1.458,51.2,nyh_11_15 & dow_not_fri,2
6100,1464.7,-6814.5,1.434,51.6,retr_0.2_0.5 & sent_counter,2
5650,1458.3,-6820.9,1.461,49.9,nyh_11_15 & near_key_level,2
4057,1427.8,-6851.4,1.646,52.3,retr_0.3_0.6 & dow_3,2
4362,1395.1,-6884.1,1.588,52.3,impulse_ge_q20 & dow_0,2
4029,1393.7,-6885.5,1.651,53.1,impulse_ge_q30 & dow_3,2
4643,1387.3,-6891.9,1.513,48.5,dow_0 & near_key_level,2
4468,1384.1,-6895.1,1.586,53.1,impulse_ge_q20 & dow_1,2
4536,1376.1,-6903.1,1.549,52.1,nyh_0_7 & retr_0.2_0.5,2
4230,1361.3,-6917.9,1.566,50.0,retr_0.4_0.7 & dow_4,2
5181,1354.9,-6924.3,1.494,52.7,nyh_11_15 & retr_0.3_0.6,2
4142,1339.4,-6939.8,1.548,48.1,nyh_0_7 & leg_A,2
3487,1332.4,-6946.8,1.752,53.8,nyh_11_15 & leg_A,2
3616,1295.9,-6983.3,1.681,53.3,impulse_ge_q30 & dow_4,2
5931,1292.0,-6987.2,1.388,49.3,nyh_13_17,1
7544,1290.1,-6989.1,1.284,45.9,nyh_15_23,1
4637,1288.8,-6990.4,1.517,53.1,impulse_ge_q20 & dow_2,2
3535,1286.1,-6993.1,1.657,50.9,atrpct_0.4_1.0 & dow_3,2
4419,1280.1,-6999.1,1.532,51.5,nyh_11_15 & nyh_12_14,2
4419,1280.1,-6999.1,1.532,51.5,nyh_12_14,1
3835,1262.9,-7016.3,1.623,53.7,impulse_ge_q30 & dow_0,2
4153,1256.7,-7022.5,1.535,50.2,retr_0.4_0.7 & dow_0,2
3930,1252.8,-7026.4,1.621,54.5,impulse_ge_q30 & dow_1,2
3799,1250.1,-7029.1,1.643,54.5,nyh_7_12 & retr_0.2_0.5,2
4992,1244.3,-7034.9,1.468,52.4,nyh_13_17 & impulse_ge_q20,2
4495,1241.7,-7037.5,1.491,49.6,nyh_15_23 & atrpct_0.4_1.0,2
3697,1224.3,-7054.9,1.614,52.0,atrpct_0.4_1.0 & dow_2,2
4507,1215.3,-7063.8,1.516,53.5,nyh_13_17 & impulse_ge_q30,2
4079,1210.5,-7068.7,1.561,53.0,nyh_12_14 & impulse_ge_q20,2
3447,1204.0,-7075.2,1.663,53.4,impulse_ge_q40 & dow_3,2
2033,1196.9,-7082.3,2.151,54.2,dow_4 & leg_A,2
4863,1193.8,-7085.3,1.421,48.6,dow_2 & near_key_level,2
3765,1185.5,-7093.7,1.573,51.6,retr_0.3_0.6 & dow_4,2
4351,1185.2,-7094.0,1.507,51.8,nyh_11_15 & atrpct_0.4_1.0,2
6091,1167.2,-7112.0,1.313,45.2,nyh_15_23 & near_key_level,2
3958,1162.7,-7116.5,1.57,53.8,nyh_13_17 & impulse_ge_q40,2
3015,1162.3,-7116.8,1.698,51.1,atrpct_0.3_0.9 & dow_4,2
3109,1155.6,-7123.6,1.727,54.4,impulse_ge_q40 & dow_4,2
3804,1146.1,-7133.1,1.581,53.7,nyh_12_14 & impulse_ge_q30,2
3345,1124.6,-7154.6,1.626,51.4,atrpct_0.4_1.0 & dow_1,2
5991,1118.8,-7160.4,1.316,47.5,nyh_15_23 & retr_0.4_0.7,2
3856,1116.6,-7162.6,1.528,51.0,nyh_11_15 & pd_bull,2
4459,1116.0,-7163.2,1.442,49.7,retr_0.4_0.7 & dow_1,2
4682,1111.1,-7168.1,1.422,50.7,retr_0.4_0.7 & dow_2,2
4053,1106.8,-7172.4,1.516,54.0,impulse_ge_q30 & dow_2,2
2862,1102.9,-7176.3,1.762,53.9,nyh_13_17 & leg_A,2
4377,1100.6,-7178.6,1.441,48.7,nyh_13_17 & near_key_level,2
4322,1100.2,-7179.0,1.465,50.9,nyh_11_15 & nyh_13_17,2
3303,1099.3,-7179.9,1.644,54.7,impulse_ge_q40 & dow_0,2
3186,1099.1,-7180.1,1.579,46.1,retr_0.5_0.8 & dow_3,2
3439,1092.7,-7186.5,1.624,54.3,nyh_13_17 & impulse_ge_q50,2
5476,1092.7,-7186.5,1.358,50.9,nyh_15_23 & impulse_ge_q20,2
