trades,net,wr,pf,dd,years_pos,years,months_pos,months,mar,rule
720,58.0933654766722,57.49999999999999,1.1791224514139214,-23.592389692705762,6,8,49,85,0.3077971659152939,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + base_body_low
771,47.47674555429162,56.03112840466926,1.1336225169337422,-15.30318458799174,6,8,50,85,0.38780119001787833,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + base_body_high
1232,74.17474668133124,56.006493506493506,1.1308830610091416,-43.629265274038765,4,8,44,85,0.21251431297156267,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + dir_demand
1104,57.58774793069402,55.88768115942029,1.1119719886237216,-31.961731797472122,6,8,47,85,0.2252214785153189,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + dir_supply
1612,105.94089571889064,56.26550868486352,1.1436778043975275,-19.279429309121387,7,8,51,85,0.6868777987425205,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + body_ge_60
1195,83.86174657117016,56.40167364016736,1.1542322409972712,-16.187546232027938,7,8,46,84,0.6475792050963007,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + body_ge_70
1016,71.03540681736226,57.381889763779526,1.1529799650333532,-13.874947277122907,6,8,49,84,0.6399610517303176,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + tight_zone
137,19.00618663935962,56.934306569343065,1.3561424210543818,-3.839569689142289,6,8,35,69,0.6187603096873779,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + wide_zone
756,53.279075385341365,56.34920634920635,1.1560509023774148,-14.34412841614337,7,8,47,84,0.46429341887879433,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + impulse_ge_1p5
278,38.32543324587443,59.71223021582733,1.33572447347134,-11.650768259859056,6,8,43,81,0.4111899789681559,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + impulse_ge_2
697,64.47506850502431,58.10616929698709,1.2086227026754939,-15.603991201568466,7,8,45,84,0.5164950081693159,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + base_body_low
689,43.4490924554009,55.878084179970976,1.1375772849168422,-12.546954971704395,7,8,48,85,0.4328649117792554,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + base_body_high
1137,72.07342832375582,56.112576956904135,1.138427196494251,-34.3870017099283,5,8,49,85,0.26199372124579057,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + dir_demand
1028,92.6174487717105,57.68482490272373,1.2025554067577575,-15.658312738560356,6,8,50,85,0.7393632564224945,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_45 + dir_supply
1195,83.86174657117016,56.40167364016736,1.1542322409972712,-16.187546232027938,7,8,46,84,0.6475792050963007,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60 + body_ge_70
771,46.20188034823745,56.809338521400775,1.1295270695424702,-18.121558911026092,5,8,46,84,0.31869416267580214,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60 + tight_zone
557,37.12324607317258,55.83482944344704,1.146828879191144,-18.257933525656128,5,8,42,82,0.2541583226067646,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60 + impulse_ge_1p5
200,22.82931899338844,57.99999999999999,1.2691524813274908,-12.250856277635718,5,8,37,76,0.23293595235322453,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60 + impulse_ge_2
513,57.49414876850091,58.86939571150097,1.2580959192704486,-13.814400484150807,6,8,47,84,0.5202374583180759,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60 + base_body_low
524,25.940279511980577,55.152671755725194,1.1064529992003573,-17.47433747807266,4,8,43,84,0.18555982125596496,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60 + base_body_high
837,46.01256030127177,55.55555555555556,1.1188230389406921,-28.236919752919448,5,8,45,84,0.203689711483644,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60 + dir_demand
775,59.9283354176189,57.03225806451613,1.1711678450224154,-13.190281315805919,7,8,48,85,0.5679213162971622,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_60 + dir_supply
587,45.81588178520542,57.5809199318569,1.1720658796362309,-12.855140146547829,5,8,52,83,0.4455015781907773,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_70 + tight_zone
419,25.591907172314965,55.36992840095465,1.1337481954753066,-14.768101558510795,5,8,39,82,0.21661473438986523,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_70 + impulse_ge_1p5
155,25.80712654809672,60.64516129032258,1.419032837082064,-9.883369459084603,6,8,36,67,0.32639585435581514,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_70 + impulse_ge_2
395,41.253262236766176,58.48101265822785,1.23776450906043,-13.805955929492878,6,8,42,82,0.37350965090218036,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_70 + base_body_low
389,30.57444133556706,56.555269922879184,1.1752076769332513,-16.83366757914622,4,8,44,80,0.22703342269158194,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_70 + base_body_high
617,40.71827674030061,56.07779578606159,1.1445748341067723,-21.27354963351335,5,8,47,83,0.23925412919898278,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_70 + dir_demand
578,43.14346983086954,56.747404844290664,1.164609866875476,-16.72752495881892,6,8,46,84,0.3223987853633711,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + body_ge_70 + dir_supply
379,30.13619289786493,57.519788918205805,1.1763660772286384,-12.450733353477695,6,8,43,85,0.30255439621802876,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + tight_zone + impulse_ge_1p5
