rule,k,tp_mode,sl_buf,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,4,3R,0.25,1,"(-1,)",4008,597,0.596,-1596.8,-0.14,0.375,-1727.7,2/8,1.95,False
15min,4,3R,0.25,1,"(1, -1)",10350,1542,0.615,-3870.7,-0.14,0.375,-4212.6,1/8,1.96,False
15min,4,3R,0.5,0,"(1,)",10911,1625,0.683,-3203.3,-0.14,0.375,-3495.9,2/8,2.07,False
15min,4,3R,0.5,0,"(-1,)",9857,1468,0.604,-3827.3,-0.14,0.355,-4000.9,1/8,2.06,False
15min,4,3R,0.5,0,"(1, -1)",20768,3093,0.644,-7030.6,-0.14,0.365,-7476.4,1/8,2.07,False
15min,4,3R,0.5,1,"(1,)",6532,973,0.687,-1904.4,-0.13,0.374,-2123.1,1/8,2.07,False
15min,4,3R,0.5,1,"(-1,)",4132,615,0.649,-1386.7,-0.13,0.37,-1533.0,1/8,2.06,False
15min,4,3R,0.5,1,"(1, -1)",10664,1588,0.672,-3291.1,-0.13,0.373,-3649.4,1/8,2.07,False
15min,4,swing,0.05,0,"(1,)",10275,1530,0.41,-20075.1,-0.15,0.2,-20078.5,0/8,11.0,False
15min,4,swing,0.05,0,"(-1,)",9296,1385,0.463,-13815.4,-0.15,0.192,-13897.1,0/8,12.1,False
15min,4,swing,0.05,0,"(1, -1)",19571,2915,0.433,-33890.4,-0.15,0.196,-33922.5,0/8,11.52,False
15min,4,swing,0.05,1,"(1,)",6143,915,0.386,-13639.3,-0.15,0.201,-13637.4,0/8,10.57,False
15min,4,swing,0.05,1,"(-1,)",3893,580,0.377,-7865.1,-0.15,0.193,-7893.7,0/8,11.2,False
15min,4,swing,0.05,1,"(1, -1)",10036,1495,0.383,-21504.4,-0.15,0.198,-21510.0,0/8,10.81,False
15min,4,swing,0.1,0,"(1,)",10354,1542,0.409,-19790.4,-0.15,0.2,-19793.7,0/8,10.71,False
15min,4,swing,0.1,0,"(-1,)",9365,1395,0.461,-13680.2,-0.15,0.192,-13758.2,0/8,11.81,False
15min,4,swing,0.1,0,"(1, -1)",19719,2937,0.431,-33470.6,-0.15,0.197,-33501.3,0/8,11.23,False
15min,4,swing,0.1,1,"(1,)",6193,923,0.385,-13456.0,-0.15,0.202,-13454.2,0/8,10.29,False
15min,4,swing,0.1,1,"(-1,)",3923,584,0.374,-7778.7,-0.15,0.194,-7805.1,0/8,10.97,False
15min,4,swing,0.1,1,"(1, -1)",10116,1507,0.381,-21234.7,-0.15,0.199,-21240.1,0/8,10.55,False
15min,4,swing,0.25,0,"(1,)",10598,1579,0.413,-18774.6,-0.15,0.204,-18777.7,0/8,9.94,False
15min,4,swing,0.25,0,"(-1,)",9563,1424,0.464,-13009.6,-0.15,0.196,-13081.4,0/8,11.01,False
15min,4,swing,0.25,0,"(1, -1)",20161,3003,0.435,-31784.2,-0.15,0.2,-31811.4,0/8,10.45,False
15min,4,swing,0.25,1,"(1,)",6342,945,0.389,-12753.5,-0.15,0.206,-12751.8,0/8,9.54,False
15min,4,swing,0.25,1,"(-1,)",4008,597,0.378,-7352.9,-0.15,0.198,-7378.1,0/8,10.26,False
15min,4,swing,0.25,1,"(1, -1)",10350,1542,0.385,-20106.4,-0.15,0.203,-20111.2,0/8,9.82,False
15min,4,swing,0.5,0,"(1,)",10911,1625,0.414,-17443.6,-0.15,0.21,-17446.2,0/8,8.92,False
15min,4,swing,0.5,0,"(-1,)",9857,1468,0.463,-12269.9,-0.15,0.202,-12326.6,0/8,9.93,False
15min,4,swing,0.5,0,"(1, -1)",20768,3093,0.436,-29713.5,-0.15,0.206,-29734.9,0/8,9.4,False
15min,4,swing,0.5,1,"(1,)",6532,973,0.389,-11869.2,-0.15,0.21,-11867.6,0/8,8.56,False
15min,4,swing,0.5,1,"(-1,)",4132,615,0.374,-6954.5,-0.15,0.204,-6972.5,0/8,9.23,False
15min,4,swing,0.5,1,"(1, -1)",10664,1588,0.384,-18823.7,-0.15,0.208,-18827.9,0/8,8.82,False
1h,2,2R,0.05,0,"(1,)",2121,316,0.686,-509.3,-0.13,0.454,-602.9,2/8,1.42,False
1h,2,2R,0.05,0,"(-1,)",1859,277,0.55,-695.8,-0.14,0.396,-717.5,1/8,1.44,False
1h,2,2R,0.05,0,"(1, -1)",3980,593,0.619,-1205.1,-0.14,0.427,-1292.6,1/8,1.43,False
1h,2,2R,0.05,1,"(1,)",1346,201,0.716,-289.1,-0.12,0.458,-355.4,2/8,1.43,False
