rule,k,block,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,mitigation,0.15,3R,1,"(1, -1)",1541,230,1.073,82.8,0.12,0.316,-102.0,4/8,2.88,False
15min,3,mitigation,0.3,2R,0,"(1,)",1521,227,1.028,27.9,0.04,0.385,-113.7,4/8,1.92,False
15min,3,mitigation,0.3,2R,0,"(-1,)",1430,213,0.808,-196.7,-0.14,0.331,-204.0,1/8,1.91,False
15min,3,mitigation,0.3,2R,0,"(1, -1)",2951,440,0.917,-168.9,-0.1,0.359,-258.0,3/8,1.92,False
15min,3,mitigation,0.3,2R,1,"(1,)",927,138,1.072,43.0,0.1,0.397,-66.2,3/8,1.92,False
15min,3,mitigation,0.3,2R,1,"(-1,)",638,95,0.835,-74.5,-0.12,0.339,-95.1,2/8,1.92,False
15min,3,mitigation,0.3,2R,1,"(1, -1)",1565,233,0.97,-31.4,-0.03,0.373,-134.5,3/8,1.92,False
15min,3,mitigation,0.3,3R,0,"(1,)",1521,227,1.133,144.6,0.25,0.331,-86.3,5/8,2.89,False
15min,3,mitigation,0.3,3R,0,"(-1,)",1430,213,0.87,-143.1,-0.14,0.278,-154.8,1/8,2.89,False
15min,3,mitigation,0.3,3R,0,"(1, -1)",2951,440,1.001,1.5,0.0,0.305,-184.8,4/8,2.89,False
15min,3,mitigation,0.3,3R,1,"(1,)",927,138,1.201,129.4,0.37,0.346,-52.3,4/8,2.89,False
15min,3,mitigation,0.3,3R,1,"(-1,)",638,95,0.881,-58.4,-0.12,0.279,-71.2,2/8,2.89,False
15min,3,mitigation,0.3,3R,1,"(1, -1)",1565,233,1.063,71.0,0.12,0.319,-90.3,4/8,2.89,False
15min,3,mitigation,0.5,2R,0,"(1,)",1538,229,1.039,38.6,0.06,0.389,-93.9,4/8,1.93,False
15min,3,mitigation,0.5,2R,0,"(-1,)",1453,217,0.793,-213.3,-0.14,0.328,-230.6,2/8,1.93,False
15min,3,mitigation,0.5,2R,0,"(1, -1)",2991,446,0.913,-174.7,-0.1,0.359,-253.7,2/8,1.93,False
15min,3,mitigation,0.5,2R,1,"(1,)",938,140,1.107,62.6,0.17,0.407,-54.7,5/8,1.93,False
15min,3,mitigation,0.5,2R,1,"(-1,)",644,96,0.808,-86.5,-0.12,0.334,-107.2,2/8,1.93,False
15min,3,mitigation,0.5,2R,1,"(1, -1)",1582,236,0.977,-24.0,-0.03,0.377,-121.1,3/8,1.93,False
15min,3,mitigation,0.5,3R,0,"(1,)",1538,229,1.157,165.4,0.36,0.341,-68.4,5/8,2.91,False
15min,3,mitigation,0.5,3R,0,"(-1,)",1453,217,0.844,-172.5,-0.14,0.279,-187.7,2/8,2.9,False
15min,3,mitigation,0.5,3R,0,"(1, -1)",2991,446,0.997,-7.1,-0.01,0.311,-167.0,4/8,2.9,False
15min,3,mitigation,0.5,3R,1,"(1,)",938,140,1.245,153.4,0.54,0.361,-42.4,4/8,2.91,False
15min,3,mitigation,0.5,3R,1,"(-1,)",644,96,0.814,-91.5,-0.13,0.273,-102.6,2/8,2.9,False
15min,3,mitigation,0.5,3R,1,"(1, -1)",1582,236,1.055,61.9,0.1,0.326,-95.4,4/8,2.9,False
15min,4,breaker,0.05,2R,0,"(1,)",568,85,0.987,-4.9,-0.02,0.38,-37.3,2/8,1.9,False
15min,4,breaker,0.05,2R,0,"(-1,)",584,87,0.802,-81.9,-0.12,0.341,-98.7,3/8,1.9,False
15min,4,breaker,0.05,2R,0,"(1, -1)",1152,172,0.891,-86.9,-0.13,0.36,-98.4,2/8,1.9,False
15min,4,breaker,0.05,2R,1,"(1,)",357,53,1.072,16.8,0.12,0.401,-20.7,3/8,1.9,False
15min,4,breaker,0.05,2R,1,"(-1,)",252,38,0.99,-1.6,-0.01,0.393,-18.2,4/8,1.9,False
15min,4,breaker,0.05,2R,1,"(1, -1)",609,91,1.038,15.1,0.08,0.397,-29.6,4/8,1.9,False
15min,4,breaker,0.05,3R,0,"(1,)",568,85,1.158,64.4,0.24,0.336,-39.6,5/8,2.87,False
15min,4,breaker,0.05,3R,0,"(-1,)",584,87,0.847,-69.9,-0.11,0.276,-96.4,1/8,2.87,False
15min,4,breaker,0.05,3R,0,"(1, -1)",1152,172,0.994,-5.5,-0.01,0.306,-59.2,4/8,2.87,False
15min,4,breaker,0.05,3R,1,"(1,)",357,53,1.305,75.3,0.71,0.364,-15.8,5/8,2.87,False
15min,4,breaker,0.05,3R,1,"(-1,)",252,38,0.966,-6.5,-0.04,0.306,-26.7,3/8,2.87,False
15min,4,breaker,0.05,3R,1,"(1, -1)",609,91,1.158,68.8,0.43,0.34,-24.0,5/8,2.87,False
15min,4,breaker,0.15,2R,0,"(1,)",576,86,1.024,9.0,0.03,0.387,-39.3,2/8,1.91,False
15min,4,breaker,0.15,2R,0,"(-1,)",593,88,0.856,-58.6,-0.11,0.352,-76.4,3/8,1.91,False
15min,4,breaker,0.15,2R,0,"(1, -1)",1169,174,0.937,-49.7,-0.1,0.37,-74.2,3/8,1.91,False
15min,4,breaker,0.15,2R,1,"(1,)",361,54,1.175,39.4,0.37,0.421,-15.8,5/8,1.91,False
15min,4,breaker,0.15,2R,1,"(-1,)",256,38,1.066,10.7,0.09,0.406,-18.5,5/8,1.91,False
